id,date,location,temperature_c,humidity_percent,rainfall_mm,river_level_m,seismic_magnitude
1,2024-01-01,Andhra Pradesh,30,78,120,5.2,3.2
2,2024-01-02,Kerala,29,88,180,6.8,2.1
3,2024-01-03,Assam,27,92,220,8.5,4.5
4,2024-01-04,Bihar,28,82,150,7.2,3.7
5,2024-01-05,Odisha,31,84,175,6.1,2.8
6,2024-01-06,West Bengal,30,86,200,5.9,3.0
7,2024-01-07,Telangana,35,65,95,4.5,1.9
8,2024-01-08,Tamil Nadu,34,72,85,4.2,2.3
9,2024-01-09,Karnataka,29,74,140,4.8,2.5
10,2024-01-10,Maharashtra,36,68,160,4.0,3.1
11,2024-01-11,Gujarat,38,55,70,3.8,2.0
12,2024-01-12,Rajasthan,40,35,40,2.2,1.5
13,2024-01-13,Uttar Pradesh,27,70,110,6.5,2.8
14,2024-01-14,Punjab,24,60,65,4.1,1.9
15,2024-01-15,Haryana,25,58,55,3.5,2.2
16,2024-01-16,Delhi,26,57,45,3.2,2.4
17,2024-01-17,Chhattisgarh,33,76,130,5.6,3.3
18,2024-01-18,Jharkhand,31,80,145,4.9,3.5
19,2024-01-19,Meghalaya,22,92,260,8.9,4.0
20,2024-01-20,Nagaland,23,89,210,7.8,4.2
