id,location,wind_speed_kmph,pressure_hpa,sea_surface_temp,humidity_percent,cyclone_risk_score,cyclone_label
1,Odisha,130,975,30.5,90,0.98,1
2,Andhra Pradesh,120,980,30.2,88,0.95,1
3,West Bengal,125,978,30.1,89,0.96,1
4,Tamil Nadu,110,985,29.8,86,0.88,1
5,Kerala,100,990,29.5,84,0.82,1
6,Gujarat,95,992,29.2,80,0.75,1
7,Maharashtra,85,995,28.8,78,0.62,0
8,Karnataka,80,998,28.5,75,0.55,0
9,Goa,78,999,28.4,74,0.52,0
10,Assam,70,1002,28.0,72,0.45,0
11,Bihar,65,1005,27.8,70,0.40,0
12,Punjab,50,1010,27.0,60,0.18,0
13,Haryana,48,1012,26.8,58,0.15,0
14,Delhi,45,1013,26.5,55,0.12,0
15,Rajasthan,40,1015,26.0,45,0.08,0
16,Jharkhand,60,1008,27.5,68,0.32,0
17,Chhattisgarh,62,1007,27.8,70,0.35,0
18,Nagaland,75,1000,28.2,74,0.50,0
19,Meghalaya,78,998,28.4,76,0.55,0
20,Sikkim,55,1006,27.2,65,0.25,0
