id,location,seismic_magnitude,depth_km,fault_activity,ground_acceleration,earthquake_risk_score,earthquake_label
1,Himachal Pradesh,5.2,12,0.85,0.72,0.88,1
2,Uttarakhand,5.8,15,0.90,0.78,0.94,1
3,Sikkim,4.9,10,0.75,0.65,0.80,1
4,Assam,5.4,14,0.88,0.74,0.91,1
5,Manipur,5.1,16,0.82,0.70,0.86,1
6,Nagaland,4.8,18,0.70,0.60,0.76,1
7,Arunachal Pradesh,5.7,13,0.92,0.80,0.96,1
8,Jammu Kashmir,5.0,20,0.78,0.66,0.82,1
9,Delhi,3.2,25,0.40,0.25,0.22,0
10,Punjab,2.8,30,0.32,0.18,0.15,0
11,Haryana,2.6,35,0.28,0.15,0.12,0
12,Rajasthan,2.5,40,0.25,0.12,0.10,0
13,Gujarat,3.8,28,0.52,0.38,0.45,0
14,Maharashtra,3.5,26,0.48,0.32,0.40,0
15,Karnataka,3.0,32,0.35,0.22,0.20,0
16,Tamil Nadu,3.1,30,0.38,0.24,0.24,0
17,Andhra Pradesh,3.4,24,0.45,0.30,0.35,0
18,Kerala,2.9,34,0.30,0.20,0.18,0
19,Bihar,4.2,20,0.60,0.48,0.58,1
20,Nepal Border,6.2,11,0.96,0.88,0.99,1
