id,location,rainfall_mm,river_level_m,humidity_percent,soil_moisture,flood_risk_score,flood_label
1,Andhra Pradesh,180,7.2,82,75,0.92,1
2,Kerala,220,8.5,90,85,0.98,1
3,Assam,250,9.1,94,88,0.99,1
4,Bihar,140,6.5,78,68,0.72,1
5,Odisha,190,7.8,84,80,0.94,1
6,West Bengal,170,7.1,81,74,0.88,1
7,Telangana,90,4.2,65,45,0.32,0
8,Tamil Nadu,85,3.9,62,42,0.28,0
9,Karnataka,110,5.1,70,58,0.50,0
10,Maharashtra,120,5.5,72,60,0.55,0
11,Gujarat,70,3.0,50,30,0.18,0
12,Rajasthan,40,2.2,35,20,0.08,0
13,Uttar Pradesh,130,6.0,75,65,0.68,1
14,Punjab,65,2.9,52,28,0.15,0
15,Haryana,55,2.5,50,25,0.12,0
16,Delhi,45,2.3,48,22,0.10,0
17,Chhattisgarh,150,6.8,80,70,0.82,1
18,Jharkhand,145,6.4,78,68,0.78,1
19,Meghalaya,280,9.8,96,92,1.00,1
20,Nagaland,230,8.7,91,86,0.99,1
