id,location,temperature_c,humidity_percent,wind_speed_kmph,vegetation_index,fire_risk_score,wildfire_label
1,Rajasthan,42,22,18,0.20,0.95,1
2,Gujarat,40,25,16,0.25,0.91,1
3,Maharashtra,38,30,15,0.32,0.82,1
4,Karnataka,36,35,14,0.40,0.72,1
5,Andhra Pradesh,37,32,16,0.35,0.78,1
6,Telangana,39,28,17,0.30,0.88,1
7,Tamil Nadu,34,45,12,0.55,0.48,0
8,Kerala,30,82,10,0.85,0.10,0
9,Assam,28,90,8,0.92,0.05,0
10,Odisha,33,60,11,0.60,0.40,0
11,Punjab,31,52,10,0.58,0.35,0
12,Haryana,32,50,12,0.55,0.38,0
13,Delhi,35,40,13,0.45,0.60,1
14,Bihar,30,65,10,0.70,0.25,0
15,Jharkhand,34,42,14,0.48,0.62,1
16,Chhattisgarh,36,38,15,0.42,0.75,1
17,Nagaland,29,85,8,0.88,0.08,0
18,Meghalaya,27,92,6,0.95,0.02,0
19,Sikkim,22,90,5,0.97,0.01,0
20,West Bengal,33,58,11,0.62,0.42,0
