id,flood_risk_norm,wildfire_risk_norm,cyclone_risk_norm,earthquake_risk_norm,overall_disaster_risk
1,0.92,0.18,0.22,0.15,0.37
2,0.98,0.12,0.18,0.10,0.35
3,0.88,0.25,0.20,0.12,0.36
4,0.95,0.10,0.15,0.08,0.32
5,0.30,0.85,0.12,0.10,0.34
6,0.25,0.92,0.10,0.08,0.34
7,0.20,0.88,0.15,0.12,0.34
8,0.15,0.95,0.18,0.10,0.35
9,0.18,0.25,0.92,0.14,0.37
10,0.12,0.20,0.95,0.10,0.34
11,0.10,0.18,0.88,0.12,0.32
12,0.08,0.15,0.90,0.10,0.31
13,0.15,0.20,0.18,0.92,0.36
14,0.12,0.18,0.15,0.95,0.35
15,0.10,0.12,0.10,0.90,0.31
16,0.82,0.35,0.22,0.18,0.39
17,0.78,0.40,0.25,0.20,0.41
18,0.85,0.30,0.28,0.22,0.41
19,0.90,0.22,0.32,0.18,0.41
20,0.99,0.12,0.20,0.15,0.37
