id,rainfall_norm,temperature_norm,humidity_norm,river_level_norm,seismic_activity_norm
1,0.45,0.68,0.80,0.55,0.12
2,0.52,0.72,0.84,0.60,0.15
3,0.38,0.64,0.75,0.48,0.10
4,0.70,0.80,0.90,0.78,0.20
5,0.25,0.55,0.65,0.35,0.08
6,0.60,0.76,0.86,0.68,0.18
7,0.48,0.70,0.82,0.58,0.14
8,0.75,0.85,0.92,0.82,0.22
9,0.35,0.62,0.72,0.45,0.11
10,0.80,0.88,0.95,0.88,0.25
11,0.28,0.58,0.68,0.38,0.09
12,0.65,0.78,0.88,0.72,0.19
13,0.42,0.66,0.78,0.52,0.13
14,0.78,0.86,0.93,0.85,0.23
15,0.30,0.60,0.70,0.40,0.10
16,0.58,0.74,0.84,0.65,0.17
17,0.46,0.69,0.81,0.56,0.14
18,0.82,0.89,0.96,0.90,0.26
19,0.36,0.63,0.73,0.46,0.11
20,0.85,0.92,0.98,0.95,0.28
