id,temperature_norm,humidity_norm,rainfall_norm,wind_speed_norm,pressure_norm
1,0.65,0.78,0.42,0.35,0.72
2,0.70,0.82,0.55,0.40,0.75
3,0.62,0.75,0.38,0.32,0.68
4,0.80,0.88,0.70,0.50,0.82
5,0.55,0.65,0.25,0.28,0.60
6,0.72,0.85,0.60,0.42,0.78
7,0.68,0.80,0.50,0.38,0.74
8,0.77,0.90,0.72,0.52,0.85
9,0.60,0.70,0.35,0.30,0.65
10,0.83,0.92,0.78,0.55,0.88
11,0.58,0.68,0.30,0.27,0.62
12,0.75,0.86,0.65,0.45,0.80
13,0.64,0.77,0.40,0.34,0.70
14,0.81,0.89,0.74,0.53,0.84
15,0.57,0.66,0.28,0.26,0.61
16,0.73,0.84,0.58,0.41,0.77
17,0.67,0.79,0.48,0.36,0.73
18,0.79,0.91,0.76,0.54,0.87
19,0.61,0.72,0.36,0.31,0.66
20,0.85,0.94,0.80,0.58,0.90
