id,date,location,humidity_percent
1,2024-01-01,Andhra Pradesh,78
2,2024-01-02,Kerala,88
3,2024-01-03,Assam,90
4,2024-01-04,Bihar,82
5,2024-01-05,Odisha,84
6,2024-01-06,West Bengal,86
7,2024-01-07,Telangana,65
8,2024-01-08,Tamil Nadu,72
9,2024-01-09,Karnataka,74
10,2024-01-10,Maharashtra,68
11,2024-01-11,Gujarat,55
12,2024-01-12,Rajasthan,35
13,2024-01-13,Uttar Pradesh,70
14,2024-01-14,Punjab,60
15,2024-01-15,Haryana,58
16,2024-01-16,Delhi,57
17,2024-01-17,Chhattisgarh,76
18,2024-01-18,Jharkhand,80
19,2024-01-19,Meghalaya,92
20,2024-01-20,Nagaland,89
