id,date,location,magnitude,depth_km,seismic_risk
1,2024-01-01,Himachal Pradesh,4.5,12,Medium
2,2024-01-02,Uttarakhand,5.2,15,High
3,2024-01-03,Sikkim,4.8,10,Medium
4,2024-01-04,Nepal Border,5.6,18,High
5,2024-01-05,Assam,4.2,8,Low
6,2024-01-06,Manipur,5.1,16,High
7,2024-01-07,Nagaland,4.7,14,Medium
8,2024-01-08,Arunachal Pradesh,5.4,20,High
9,2024-01-09,Jammu & Kashmir,4.3,11,Low
10,2024-01-10,Andaman Islands,6.1,25,High
11,2024-01-11,Himachal Pradesh,4.9,13,Medium
12,2024-01-12,Uttarakhand,5.7,22,High
13,2024-01-13,Sikkim,4.4,9,Low
14,2024-01-14,Nepal Border,5.9,24,High
15,2024-01-15,Assam,4.6,12,Medium
16,2024-01-16,Manipur,5.0,18,Medium
17,2024-01-17,Nagaland,4.8,15,Medium
18,2024-01-18,Arunachal Pradesh,5.5,23,High
19,2024-01-19,Jammu & Kashmir,4.7,10,Medium
20,2024-01-20,Andaman Islands,6.3,28,High
