id,date,location,temperature_c
1,2024-01-01,Andhra Pradesh,32
2,2024-01-02,Kerala,30
3,2024-01-03,Assam,28
4,2024-01-04,Bihar,29
5,2024-01-05,Odisha,33
6,2024-01-06,West Bengal,31
7,2024-01-07,Telangana,35
8,2024-01-08,Tamil Nadu,34
9,2024-01-09,Karnataka,29
10,2024-01-10,Maharashtra,36
11,2024-01-11,Gujarat,38
12,2024-01-12,Rajasthan,40
13,2024-01-13,Uttar Pradesh,27
14,2024-01-14,Punjab,24
15,2024-01-15,Haryana,25
16,2024-01-16,Delhi,26
17,2024-01-17,Chhattisgarh,33
18,2024-01-18,Jharkhand,31
19,2024-01-19,Meghalaya,22
20,2024-01-20,Nagaland,23
